ID,EventType,Content
18_40,0,*       still waiting for donovan to bust into song for usa but why do they call him mellow yellow svn 1 0 usa 30mins wc2010 worldcup       * * i would love to be watching the usa slovenia match at a bar w a crowd but i have to work drinking b4 work is probably a bad idea worldcup *
18_41,0,*                 up early to watch the usa svn worldcup game slovenia s jerseys would be charlie brown shirts if they were yellow instead of white                 * * cãµ láº½ tráº n ä áº u thá 3 táº i báº ng c giá a slovenia má ¹ lã báº t ngá tiáº p theo táº i worldcup khi slovenia ä ã væ á t lãªn dáº n træ á c vá i tá sá 1 0 *
18_42,0,* watching the svn vs usa worldcup game instead of doing all the errands i have to do today and we ve already given up a goal * *     what usa losing to slovenia 1 0 how are we losing to a country we can t find on the map come on guys worldcup gousa     *
18_43,0,*                               que tal gol yo quiero mã s asã svn slovenia 1 0 usa united states worldcup                              * * germany i 3 ya but u lost 2 serbia wtf from looking at all the yellow cards it looks like a crazy game can t wait 2 watch it worldcup *
18_44,0,* sip pulang2 scorelinenya indah sekali bikin adem svn 1 0 usa sekarang cuman soccer kalo football beneran ntar dini hari worldcup * *    se a copa fosse no bra e o eua jogasse em sp ia te que joga desfalcado o kassab proibiu outdoor por aqui worldcup copa2010    *
18_45,1,*                yellow card against cesar for challenge 35th min svn 1 usa nil worldcup fifa2010 wc2010                * * tarjeta anarilla para bostain cã sar de svn tras una falta sobre altidor tiro libre fuera del ã rea para usa worldcup *
18_46,1,* first yellow card of the match against svn s cesar 35 usa free kick now by torres that just gets blocked by svn worldcup * *                                   damn great shot by torres so close usa svn worldcup                                    *
18_47,1,* great save by the svn keeper off a usa torres free kick corner on the way in the 37th minute svn 1 usa 0 38th min worldcup * * slovenia soccer jerseys look like charlie brown shirts worldcup largest country pop vs smallest usa better not disappoint  *
18_48,0,*          svn is wearing a charlie brown looking jersey vs usa we are on the attack just need 2 land a goal usa worldcup          * * gop protest potus not watching the usa game in s africa pres shares the frustration but he was elected to work not vent worldcup *
18_49,0,*                       good move from usa donovan to findley corner kick for usa worldcup svn 1 0 usa 38 00                      * * well that s my worldcup picks for the day shot to hell but i can still win my wager provided that usa starts scoring some goals *
18_5,0,*                time for work no cell no comp dvr ing the match to watch tonight let s go boys usa usmnt worldcup                * * usa playing svn in the same stadium they lost to bra in for the confederations cup final today s a new day usa usa usa worldcup *
18_50,1,* usa findley receives yellow card after clearly being hit in the face with ball terrible terrible call worldcup * *      that ball clearly hit him in the face no hand wtf now finnely misses the next game usa svn worldcup       *
18_51,1,*                                  robbie findley yellow card for a face ball svn 1 usa 0 worldcup                                   * * awful awful handball call it hit him in the face and he gets a yellow card for that and has to miss the next match usa worldcup fb *
18_52,0,*          how the fuck did us not manage to score from there and now slovenia has a 2 goal lead svn 2 0 usa worldcup          * * welp there goes that game svn 2 usa 0 honestly this is the most frustrating thing ever usa cannot field a good team worldcup *
18_53,1,* wc2010 fifaworldcuptm worldcup novakvic scores svn 2 0 usa first half nearly over and slovenia look like they clinch 2nd rnd placing * *      what an amazing turn of events inches away from tying the game to giving up a 2nd goal slovenia 2 usa 0 1st half worldcup       *
18_54,1,* wc2010 fifaworldcuptm worldcup ljublijankic svn 2 0 usa first half nearly over and slovenia look like they clinch 2nd rnd placing * *      watching the worldcup game betwrrn usa and svn svn just scored their second goal this isn t a word i use often but fuck      *
18_55,1,* damn it usa is down 2 0 svn usa needs to score we need a goal badly soon worldcup watching while i wait for physical therapy * *                     this is not good usa down 2 0 to slovenia this is a must win game for them worldcup                      *
18_56,1,*  halftime svn 2 usa 0 slovenia goals by valter birsa 13 zlatan ljubijankiä 43 group c match worldcup  * * i wish kobe played for team usa we d be getting all the calls in the 2nd half to help us win worldcup *
18_57,1,* usa vs svn 0 2 ht expect more goals to come in the second half usmnt has no choice but attacking so they will get open wc2010 worldcup * *     usa trails 2 0 in worldcup a loss to slovenia will seriously stunt growth of soccer in this country we don t like losing teams     *
18_58,1,*          half time svn 2 0 usa slovenia look like they are probably through to the last 16 worldcup          * * halftime svn 2 usa 0 not lookin good after that 2nd goal the life completely sucked out of the team worldcup *
18_59,1,*                                 half time score 2 0 to slovenia svn v usa worldcup                                 * * ht svn 2 0 usa early goal kills any game but we continuously give up a goal in first 15 gotta believe now worldcup *
18_6,1,* usa national anthem time for usa v svn with the type of surprises that this worldcup has been having watch slovenia win * *       serbia beat germany 1 0 i gotta feeling were gonna see some upsets in today s matches go usa worldcup gousa       *
18_60,1,*        ht svn 2 0 usa slovenia heading through with a win at the moment great 1st half for them worldcup         * * this usa worldcup game is pretty fun to watch even if we don t win these two teams are playing hard and it shows *
18_61,1,*           slovenia the lowest ranked team in worldcup is up 2 0 against usa at half time upset is in vogue win           * * hoje ã o dia da zebra ou o quãª ger perdeu pra srb usa tã perdendo pra svn sã³ falta eng perder para a alg hoje worldcup *
18_62,1,*         usa are getting done by svn the underdogs are at it again in this year s wc slovenia leading 2 0 to the good worldcup          * * am expecting a speech from barak obama during half time insisting that slovenia set up escrow account for damages slv 2 usa 0 worldcup *
18_63,0,*                                soccer usa trails slovenia svn 2 0 at halftime of worldcup groupc game                               * * svn 2 usa 0 half things are not looking good for the us team luckily they are not currently present to witness this horror worldcup *
18_64,0,* the country w the smallest population in worldcup svn w 2 mil leads usa largest pop 309 mil 2 0 at half worldcup fifa * *  dear usa please stop playing lazy defense help howard out in the 2nd half oh yeah attack slovenia s net smh worldcup *
18_65,0,*              yikes down 2 0 at the half can someone watching the game fill me in on how things look usa svn worldcup               * * wow seriously we are not playing like a team we are showing the now usa soccer fans where we were in 9 yanks worldcup usa usmnt fb *
18_66,0,*                                     serbia were v impressive in beating germany now slovenia are brilliant against the usa 2 0 thus far half time now worldcup                                    * * ð ðµñ ñ ñœ ñ ðµð³ð¾ð ð½ñ ð½ð worldcup ð ðµñ ð¼ð ð½ð ñ ð ñ ð¾ð ñƒð ð ð ðµñ ð ð ð ger 0 1 srb ð ð ð ð ñ ðµð ðµñ ñœ ð ñ ð¾ð ð³ñ ñ ð²ð ðµñ ð¾ð ð ð ñ ð ðºð ð¼ ð ð¾ñ ñ ð ð ð ð ð¾ð²ðµð½ð ð usa 0 2 svn *
18_67,0,*       slovenia trumping ahead on 2 goals to usa s nil at half time this world cup is full of surprises worldcup wc2010 fb       * * yep this is what i was afraid of the u s is losing 0 2 in the 1st half sigh they better get their act together worldcup usa svn *
18_68,0,* in the confed cup final also played in ellis park usa was up 2 0 on bra and lost 3 2 now yanks are down 2 0 to svn deja vu worldcup * *    in other worldcup news team usa fans are lamenting losing to a team wearing charlie brown shirts team svn there is still time    *
18_69,0,*             alexi lalas pre match prediction usa 2 svn 0 not even close my friend worldcup             * * team usa s landon donovan quote if we can t beat slovenia we don t deserve 2b in da worldcup hmmmm smh *
18_7,1,*       go usa so great to hear the fans join the team in singing the national anthem worldcup      * * vujacic got a win for slovenia last night with the lakers time for usa to beat svn today worldcup *
18_70,0,* c mon yanks usa 2 0 down to slovenia come out fighting dis half n leave it all on d field against svn what s d rallying cry worldcup * *    more good news from worldcup h t score slovenia v usa 2 0 if england win both games they top group easy peasy royalascot ascot    *
18_71,1,* this worldcup so far is like opening one can of worm after another ger 0 1 srb and svn 2 0 usa slovenia to come top booyah * *  i dont think im going to watch the second half of the worldcup cuz usa is losing by 2 it would be a miracle if they win   *
18_72,0,*                                         and the 2nd half kicks off usa 0 2 svn worldcup                                         * * i want to love us soccer make me love soccer play better defense and win it 3 2 don t make me regret watching you guys worldcup *
18_73,1,*                    usa torres and findley come off at the half second half starting now worldcup svn 2 0 usa 45 00                     * * amazing that in such an important game usa comes out and plays so terrible in the 1st half let s hope 2nd half is much better worldcup *
18_74,0,*                       second half started usa are gonna need to really fight through this 2 0 svn usa worldcup                       * * why are all my worldcup teams playing like crap this morning i woke up to see germany lost to serbia now usa is down 0 2 to slovenia *
18_75,1,*          landon donovan world class goal wow o svn 2 usa 1 49 worldcup           * * slovenia 2 1 usa 48 landon donovan scores a great individual goal game on wc2010 *
18_76,1,* landon donovan scores an absolute highlight of the night goal ridiculous roof jobby usa back in the match 2 1 svn worldcup * *       usa nets a quick goal off the right foot of donovan analyst says tough angle nice strike 2 1 slovenia worldcup       *
18_77,1,* usa vs svn 1 2 47 great awesome wonderful goal by landon donovan here is his leadership i love landon wc2010 worldcup * *         what an angle to score usa donovan takes it upon himself to bring his team back into the game worldcup        *
18_78,1,* now that s usa soccer landon donovan laser shot goal puts usa 1 2 v svn second half in worldcup soccer * *                 so close to tie the game 50th min svn 2 usa 1 worldcup fifa2010 wc2010                 *
18_79,1,* love watching slovenia s keeper dodge donovans goal ha ha i can see your vuvuzela from here you silly slovenian svn 2 1 usa worldcup * *        of course i have to work an hour early on the day of the best worldcup game so far nice goal by landon donovan for usa        *
18_8,1,*             watching usa vs svn game now but this time i m supporting usa for the win worldcup             * * hearing the whole stadium sing the national anthem is bonechillingly amazing go usa worldcup mundial usmnt *
18_80,1,* usa vs svn 1 2 47 great awesome wonderful goal by landon donovan here is his leadership i love landon wc2010 worldcup usmnt mls * *       this svn vs usa game is so exciting hopefully eng can get a win later on today and then my aus boys tonight worldcup      *
18_81,1,* goal landon donovan takes the ball down and drills it into the net 48 slovenia 2 1 usa with plenty of time on the clock worldcup * *    we have no fewer than 4 gk s in the cave watching the usa england worldcup game and they all winced but we ll take it 1 1     *
18_82,1,*                            usa united states cuts lead to 2 1 on donovan goal against svn slovenia worldcup                            * * usa and slovenia fifa world cup game is entertaining but being english i want them to draw it s better for us if neither wins worldcup *
18_83,1,*                         wow good action from donovan usa goals 2 1 for slovenia worldcup                         * * worldcup arg aus bra chi civ cmr den eng esp fra ger gre hon ita jpn kor mex ned nga par por prk rsa srb sui usa *
18_84,1,*           watching the worldcup svn scored 2 goals and usa scored 1 goal today i m gonna be a usa supporter go usa           * * nestor pace has accelerated in 2nd half lots of open space usa looks energized after donovan spectacular goal usmnt worldcup *
18_85,1,* altidore looked to be on goal but gets taken out and misses a great scoring opportunity the usual performance by usa worldcup * *                    fantastic to watch second half now on slovenia vs usa 2 1 58 minutes played worldcup fb                    *
18_86,0,*  donovan scores for usa match getting interesting as it moves on score slovenia 2 usa 1 svn v s usa worldcup fifa  * * worldcup com exceã ã o da arg tudo estã dando certo fra quase fora ger perdeu alg se deus quiser vai ganhar do usa *
18_87,1,*         clint dempsey channeling jake the snake there with a bitching ddt usa svn worldcup         * * worldcup å¾œå šç ã ä šã œã šï¼ åˆ ã usa å ã è åº ã ªã éš ã ã é çƒˆgooooallll donovanï¼ svn 2 1 usa *
18_88,0,*          breaking news president obama via video link did the usa s half time team talk yes we can svn 2 1 usa worldcup l          * * the usa slovenia game is quality thank god the 2nd round has been shitloads better than the bore matches of the 1st round worldcup *
18_89,0,*                                       man i wish i were watching this usa svn game too bad i m at work svn 2 usa 1 60 min worldcup                                       * * ä á i tuyá ƒn má ¹ ä ang chiáº m tháº chá ä á ng trãªn sã n tuy nhiãªn ä iá u quan trá ng nháº t lã bã n tháº ng ä á san báº ng cã ch biá t thã há cã²n thiáº u worldcup *
18_9,1,*    and now it s time for the usa svn match i don t know how much heartbreak i can take today worldcup   * * steal new guys computer check get projector check watch usa beat up on slovenia all systems go worldcup *
18_90,0,*           ã ã ã ã æ å ˆå ã ã ã ã é ç ½ã ã ä šå ä¼šã ãƒ ã ¹ãƒˆã ²ãƒ¼ãƒ ã usa 1 2 svn worldcup 2010wc            * * good morning all happy followfriday working hard watching the usa vs slovenia match it s a nail biter worldcup *
18_91,0,* hoje saiu a maior zebra da copa ger 0 1 srb franã a e espanha perderem eu atã achava possã vel mas essa agora usa 1 2 svn worldcup * *  about 30 minutes to play usa playing very aggressively this is actually one of the more entertaining games i ve watched worldcup  *
18_92,0,*          yo can t i work in the office kitchen where the worldcup is on the flat screen argh such a tease gooooal usa 1 svn 2         * * nice goal donovan although why didn t the slovenia goalie try to block with his head or face not like he s that good looking worldcup *
18_93,0,*                                                     watching usa slovenia in heathrow 1 i guess will watch the england game in tegel airport berlin worldcup                                                    * * ã ãƒ ãƒªã ã œæœ æ ã ã µãƒƒã ãƒ¼å¼ åœ ã ä¹ ã šå ºã ã ÿã ä ç œä ã ã ªã ã ã ã ã ªã äººå ï¼ å äººã å šæ ã ªäººç ã æœ å ˆç ã ã ¹ãƒ ãƒ¼ãƒ ç å ã ã ã ã å è ã ãƒ ãƒ³ã ãƒ ã æ å žã å ç ³ã å œé ã ã æ½œåœ åš ã œã ã ã usa *
18_94,0,*        what of people watching svn usa worldcup game actually require an on screen graphic explaining team s jersey colours       * * alemanha perdeu pra sã rvia depois de ter goleado a austrã lia por 4 x 0 isso sim ã uma puta falta de sacanagem copa2010 worldcup *
18_95,0,*                                                             slovenia playing some serious soccer in their charlie brown jerseys worldcup usa svn                                                            * * ì ˆì 1ì ì ì ìˆ ë¹ ì í ê³¼ ìž ë ë ¼ë ˆì ì ì íœ ìž ë ì ì ë ë 2ì ì ì ë ì í ˆë íœ ì ì ë ê³ í í ˆë íœ ë í ë ì œ í ¼ì ìƒ í ìœ¼ë œ ê ëš ëª ìšµ ê ë ê³ ëœ ëÿ ë ì ê³¼ ì¹ ë œê ë ë ¼ í ì ëª í œ ë ˆë œì¹ ë œ í ìž ìœ¼ *
18_96,1,*     yellow card against svn lucky to not have been a red free kick usa on the edge of the box worldcup svn 2 1 usa 68 00     * * that should have been a red card for slovenia clear goal scoring opportunity denied by the foul yellow was too soft worldcup *
18_97,1,*                                           worldcup svn vs usa 2 1 free kick usa and saved                                           * * donovan passes inside to dempsey who gets challenged but altidore s strike gets stopped by the keeper a close call for svn worldcup *
18_98,1,* ä šå¾œã å é ã ã ˆã ã ã ã ¹ãƒšã ãƒ³ã ã ãƒ³ã ãƒ ãƒ³ãƒ ã ãƒ ã ãƒ ã ãƒ ãƒ ã ãƒ ã äºˆé çª ç ã ã ˆå ã ã ã ªã ã ã ã ã ãƒ ãƒ ãƒ³ã ¹ã çµ æœ çš ã ã ã ã æ žæ ã æ æœ ã œã ªãƒ ãƒ³ãƒ ã å ã ï¼ usa 1 2 svn worldcup 2010wc * *                                           svn s handonavic keeps his side up by a goal as altidore fires from close range good hands usa almost had another worldcup                                          *
18_99,1,*                      yellow card against kirm 71 min svn 2 usa 1 worldcup fifa2010 wc2010                     * * lovely save by the slovenia goalkeeper worldcup second round match betweenn usa and slovenia usa 1 slovenia 2 *
